first_name,last_name,year,course_grade,professor,home_state,hr_week_studying
Suzette,Jillane,Sophomore,4,Karina Wallis,MD,20
Theodora,Darrell,Sophomore,4,Karina Wallis,International,14
Emmey,Kussell,Freshman,4,Karina Wallis,MD,12
Regina,Rustice,Junior,4,Karina Wallis,VA,8
Priscilla,Rocray,Freshman,4,Karina Wallis,NY,6
Sandie,Lytton,Junior,4,Karina Wallis,DE,8
Darci,McNully,Sophomore,4,Karina Wallis,CA,7
Genovera,Cath,Sophomore,4,Karina Wallis,MD,10
Chandra,Screens,Freshman,4,Karina Wallis,MD,12
June,Bow,Junior,4,Karina Wallis,VA,13
Rani,Lorenz,Junior,4,Karina Wallis,MD,2
Jemie,Goerke,Senior,4,Karina Wallis,NY,3
Angelique,Engdahl,Sophomore,4,Karina Wallis,International,11
Maurene,Markman,Sophomore,4,Karina Wallis,MD,6
Lynnea,Hortensia,Freshman,4,Karina Wallis,MD,9
Ingrid,Camden,Senior,3.7,Karina Wallis,VA,8
Aaren,Lory,Junior,3.7,Karina Wallis,MD,15
Edith,Tomasina,Sophomore,3.7,Karina Wallis,VA,12
Raquela,Linskey,Junior,3.7,Karina Wallis,PA,10
Eolanda,Haerr,Freshman,3.7,Karina Wallis,MD,1
Amelia,Dosia,Senior,3.3,Karina Wallis,MD,0
Damaris,Ax,Freshman,3.3,Karina Wallis,MD,8
Cissiee,Ashok,Junior,3.3,Karina Wallis,WA,9
Kimberley,Alcott,Freshman,3.3,Karina Wallis,MD,2
Donnie,Newell,Freshman,3,Karina Wallis,NY,3
Edee,Lanita,Sophomore,3,Karina Wallis,International,8
Estell,Lanita,Freshman,3,Karina Wallis,MD,12
Cristine,Ehrman,Sophomore,3,Karina Wallis,MD,10
Morganica,Roarke,Freshman,3,Karina Wallis,International,3
Kore,Natalia,Sophomore,3,Karina Wallis,MD,0
Hermione,Frendel,Junior,3,Karina Wallis,International,1
Anestassia,Faro,Sophomore,3,Karina Wallis,International,3
Cordi,Faso,Freshman,3,Karina Wallis,TX,4
Zia,Haldas,Senior,3,Karina Wallis,PA,7
Kristan,Wu,Junior,3,Karina Wallis,NY,6
Clarice,Natica,Freshman,2.7,Karina Wallis,DE,4
Barbi,Cordi,Sophomore,2.7,Karina Wallis,MD,2
Suzette,Emanuel,Junior,2.7,Karina Wallis,MD,1
Sybille,Cottle,Sophomore,2.7,Karina Wallis,International,2
Cacilie,August,Junior,2.7,Karina Wallis,NC,0
Lanae,Erskine,Junior,2.7,Karina Wallis,MD,8
Hyacinthe,Wareing,Sophomore,2.3,Karina Wallis,VA,7
Shaylyn,Mandler,Senior,2.3,Karina Wallis,MD,5
Daphne,Marijo,Sophomore,2.3,Karina Wallis,MD,4
Alameda,Rheingold,Senior,2,Karina Wallis,VA,3
Allis,Hedve,Junior,2,Karina Wallis,MD,5
Caressa,Larochelle,Junior,2,Karina Wallis,MD,2
Nyssa,Jerold,Freshman,1.7,Karina Wallis,MD,0
Jeanna,Alcott,Freshman,1.7,Karina Wallis,TX,1
Danika,Atonsah,Freshman,0,Karina Wallis,MD,0
