first_name,last_name,year,course_grade,professor,home_state,hr_week_studying,
Hannis,Tiffa,Freshman,4,David Hughes,WA,14,
Malina,Publia,Freshman,4,David Hughes,MD,10,
Shandie,Sacken,Sophomore,4,David Hughes,VA,22,
Frieda,Pitt,Junior,4,David Hughes,MD,8,
Deloria,Dulciana,Sophomore,4,David Hughes,DE,4,
Rebeca,Cimbura,Junior,4,David Hughes,MD,2,
Katleen,Goode,Freshman,4,David Hughes,DE,10,
Nannie,Lattie,Freshman,4,David Hughes,MD,13,
Paulita,Tremayne,Freshman,4,David Hughes,FL,12,
Gerianna,Fry,Junior,3.7,David Hughes,International,15,
Lynea,Fulmer,Freshman,3.7,David Hughes,CA,7,
Emilia,Autrey,Freshman,3.7,David Hughes,International,3,
Chandra,Sophronia,Sophomore,3.7,David Hughes,International,6,
Marnia,Stav,Junior,3.3,David Hughes,MD,9,
Ardys,Medrek,Freshman,3.3,David Hughes,MD,10,
Sallie,Jagir,Sophomore,3.3,David Hughes,MD,8,
Margarette,Gusella,Freshman,3.3,David Hughes,International,4,
Jaclyn,Amand,Junior,3.3,David Hughes,WV,6,
Liana,Jethro,Freshman,3,David Hughes,MD,8,
Chere,Erb,Sophomore,3,David Hughes,International,3,
Oralee,Chick,Freshman,3,David Hughes,DE,2,
Devina,Nerita,Senior,3,David Hughes,MD,5,
Dotty,Lindemann,Senior,3,David Hughes,IA,4,
Beverley,Tice,Sophomore,3,David Hughes,International,8,
Sean,Cimbura,Freshman,3,David Hughes,MD,7,
Trudie,Ellerey,Freshman,3,David Hughes,MD,10,
Adore,Eno,Freshman,3,David Hughes,International,2,
Alex,Georgy,Freshman,3,David Hughes,MD,11,
Benita,Lubin,Sophomore,3,David Hughes,VA,4,
Meriel,Colbert,Junior,2.7,David Hughes,MD,2,
Karena,Weinreb,Junior,2.7,David Hughes,MD,1,
Stevana,Caitlin,Freshman,2.7,David Hughes,MD,5,
Riannon,Chandler,Senior,2.7,David Hughes,VA,4,
Rhea,Dituri,Sophomore,2.7,David Hughes,VA,7,
Karlee,Tound,Senior,2.7,David Hughes,MD,4,
Merry,Hull,Freshman,2.3,David Hughes,MD,2,
Alleen,Dyche,Sophomore,2.3,David Hughes,MD,6,
Edee,Gerge,Freshman,2.3,David Hughes,MD,4,
Lita,Brackely,Sophomore,2,David Hughes,MD,3,
Marylou,Warthman,Junior,2,David Hughes,MD,2,
Heida,Edee,Junior,2,David Hughes,MD,4,
Codie,Fitzsimmons,Sophomore,2,David Hughes,VA,6,
Vinita,Lumbard,Senior,2,David Hughes,MD,3,
Romona,Boehike,Freshman,2,David Hughes,MD,2,
Doro,Berne,Junior,1.7,David Hughes,DE,4,
Goldie,Stefa,Junior,1.7,David Hughes,MD,1,
Charlena,Paine,Sophomore,0,David Hughes,VA,0,
Lindie,Frodi,Sophomore,0,David Hughes,VA,2,
Estell,Loeb,Freshman,0,David Hughes,MD,0,
Codie,Alexandr,Freshman,0,David Hughes,PA,1,
